CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Male,31,88,95
229,Female,40,93,11
230,Female,23,93,75
231,Male,60,97,9
232,Female,21,97,75
233,Male,53,98,34
234,Male,18,98,71
235,Female,49,99,5
236,Female,21,99,88
237,Female,42,101,7
238,Female,30,101,73
239,Female,36,103,10
240,Female,20,103,72
241,Female,65,103,5
242,Male,24,103,93
243,Male,48,113,40
244,Female,31,113,87
245,Female,49,120,12
246,Female,24,120,97
247,Female,50,126,36
248,Female,27,126,74
249,Female,29,137,22
250,Female,31,137,90
251,Female,49,20,17
252,Male,33,20,88
253,Female,31,21,20
254,Male,59,21,76
255,Female,50,23,16
256,Male,47,23,89
257,Female,51,24,1
258,Male,69,24,78
259,Female,27,25,1
260,Male,53,25,73
261,Male,70,15,35
262,Male,19,15,83
263,Female,67,16,5
264,Female,54,16,93
265,Male,63,17,26
266,Male,18,17,75
267,Female,43,18,20
268,Female,68,18,95
269,Male,19,19,27
270,Female,32,19,63
271,Male,70,19,13
272,Female,47,19,75
273,Female,60,20,10
274,Female,60,20,92
275,Male,59,42,13
276,Male,26,42,86
277,Female,45,43,15
278,Male,40,43,69
279,Female,23,43,14
280,Female,49,43,90
281,Male,57,44,32
282,Male,38,44,86
283,Male,67,46,15
284,Female,46,46,88
285,Female,21,46,39
286,Male,48,46,97
287,Female,55,47,24
288,Female,22,47,68
289,Female,34,48,17
290,Female,50,48,85
291,Female,68,48,23
292,Male,18,48,69
293,Male,48,48,8
294,Female,40,48,91
295,Female,32,49,16
296,Male,24,49,79
297,Female,47,50,28
298,Female,27,50,74
299,Male,48,54,18
300,Male,20,54,83
301,Female,23,54,39
302,Female,49,54,81
303,Male,67,54,6
304,Male,26,54,77
305,Male,49,54,40
306,Female,21,54,76
307,Female,66,54,6
308,Male,54,54,94
309,Male,68,54,3
310,Male,66,54,72
311,Male,65,57,14
312,Female,19,57,99
313,Female,38,58,15
314,Male,19,58,77
315,Female,18,59,13
316,Female,19,59,79
317,Female,63,60,35
318,Female,49,60,66
319,Female,51,60,29
320,Female,50,60,98
321,Male,27,60,35
322,Female,38,60,73
323,Female,40,61,5
324,Male,39,61,73
325,Female,23,62,14
326,Female,31,62,82
327,Male,43,62,32
328,Male,40,62,61
329,Male,59,62,31
330,Male,38,62,87
331,Male,47,63,4
332,Male,39,63,73
333,Female,25,63,4
334,Female,31,63,92
335,Male,20,63,14
336,Female,29,63,81
337,Female,44,64,17
338,Male,32,64,73
339,Male,19,65,26
340,Female,35,65,75
341,Female,57,65,35
342,Male,32,65,92
343,Female,28,67,36
344,Female,32,67,61
345,Male,25,67,28
346,Male,28,67,65
347,Male,48,69,55
348,Female,32,69,47
349,Female,34,70,42
350,Male,34,70,42
351,Male,43,71,52
352,Male,39,71,60
353,Female,44,71,54
354,Female,38,71,60
355,Female,47,71,45
356,Female,27,71,41
357,Male,37,72,50
358,Female,30,72,46
359,Male,34,73,51
360,Female,30,73,46
361,Female,56,73,56
362,Female,29,73,55
363,Male,19,74,52
364,Female,31,74,59
365,Male,50,75,51
366,Female,36,75,59
367,Male,42,76,50
368,Female,33,76,48
369,Female,36,77,59
370,Male,32,77,47
371,Male,40,77,55
372,Male,28,77,42
373,Male,36,78,49
374,Male,36,78,56
375,Female,52,28,47
376,Female,30,28,54
377,Male,58,28,53
378,Male,27,28,48
379,Male,59,29,52
380,Male,35,29,42
381,Female,37,30,51
382,Female,32,30,55
383,Male,46,33,41
384,Female,29,33,44
385,Female,41,33,57
386,Male,30,33,46
387,Female,54,34,58
388,Male,28,34,55
389,Female,41,37,60
390,Female,36,37,46
391,Female,34,38,55
392,Female,32,38,41
393,Male,33,39,49
394,Female,38,39,40
395,Female,47,39,42
396,Female,35,39,52
397,Female,45,40,47
398,Male,32,40,50
399,Male,32,40,42
400,Male,30,40,49
